amazon movie review,sentiment
"I absolutely loved this movie! The acting was superb and the storyline kept me engaged throughout.",positive
"I found this movie to be quite boring and poorly acted. I wouldn't recommend it to anyone.",negative
"The movie had its moments, but overall I was left feeling underwhelmed. It just didn't live up to the hype.",neutral
"This movie was a rollercoaster of emotions. I laughed, I cried, and I was on the edge of my seat the whole time.",positive
"I couldn't even make it through the first half of this movie. It was just too slow and uninteresting for my taste.",negative
"I was pleasantly surprised by how much I enjoyed this movie. The plot twists kept me guessing until the very end.",positive
"The movie had its flaws, but I still found it to be quite entertaining. I would watch it again.",neutral
"This movie was a total waste of time. The acting was terrible and the plot was completely nonsensical.",negative
"I was hooked from the very beginning of this movie. The suspense and mystery had me captivated until the credits rolled.",positive
"I can see why some people might enjoy this movie, but it just wasn't for me. I found it to be too predictable and cliché.",neutral