name,signs,description,medicines,cures,doctors,hospitals
Influenza,Fever,Respiratory infection caused by influenza viruses,Tamiflu,Rest,Dr. Smith,Hospital A
Migraine,Headache,Neurological condition characterized by intense headaches,Ibuprofen,Stress management,Dr. Johnson,Hospital B
Diabetes,Frequent urination,Chronic condition that affects how your body uses blood sugar,Insulin,Healthy diet,Dr. Brown,Hospital C
Pneumonia,Cough,Infection that inflames air sacs in one or both lungs,Antibiotics,Fluid intake,Dr. Lee,Hospital D
Arthritis,Joint pain,Inflammation of one or more joints,NSAIDs,Physical therapy,Dr. Rodriguez,Hospital E
Hypertension,High blood pressure,Condition in which the force of the blood against the artery walls is too high,Beta blockers,Exercise,Dr. Garcia,Hospital F
Asthma,Shortness of breath,Chronic respiratory condition that narrows the airways,Inhalers,Avoid triggers,Dr. Martinez,Hospital G
Anemia,Fatigue,Condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body,Iron supplements,Healthy diet,Dr. White,Hospital H
Bronchitis,Chest congestion,Inflammation of the lining of your bronchial tubes,Antibiotics,Rest,Dr. Patel,Hospital I
Gastritis,Stomach pain,Inflammation of the lining of the stomach,Proton pump inhibitors,Diet changes,Dr. Kim,Hospital J